Date,Product_SKU,Category,Our_Price,Our_Inventory_Level,Is_Our_Promo,Image_URL,Competitor_Price_CompA,Competitor_Price_CompB
2025-09-08,Nike Men Air Max Excee Sneakers,Footwear,6013.9,200,0,,6108.83,5618.93
2025-09-08,Adidas Men Black Solid T-Shirt,Apparel,998.31,200,0,,927.72,1088.72
2025-09-08,Levis Men 512 Slim Tapered Fit Jeans,Apparel,2518.73,200,0,,2708.1,2728.13
2025-09-08,HRX By Hrithik Roshan Men Training Jacket,Apparel,1805.9,200,0,,1713.97,1698.18
2025-09-09,Nike Men Air Max Excee Sneakers,Footwear,6006.26,199,0,,5805.63,6214.12
2025-09-09,Adidas Men Black Solid T-Shirt,Apparel,989.44,199,0,,956.53,970.24
2025-09-09,Levis Men 512 Slim Tapered Fit Jeans,Apparel,2517.31,199,0,,2523.04,2593.66
2025-09-09,HRX By Hrithik Roshan Men Training Jacket,Apparel,1796.97,199,0,,1827.89,1684.69
2025-09-10,Nike Men Air Max Excee Sneakers,Footwear,5980.98,198,1,,5619.29,6034.44
2025-09-10,Adidas Men Black Solid T-Shirt,Apparel,997.54,199,0,,959.04,1043.18
2025-09-10,Levis Men 512 Slim Tapered Fit Jeans,Apparel,2501.61,198,1,,2689.56,2678.05
2025-09-10,HRX By Hrithik Roshan Men Training Jacket,Apparel,1781.37,198,0,,1809.27,1964.52
2025-09-11,Nike Men Air Max Excee Sneakers,Footwear,5995.53,198,0,,5776.19,6489.1
2025-09-11,Adidas Men Black Solid T-Shirt,Apparel,997.5,198,0,,962.54,1016.84
2025-09-11,Levis Men 512 Slim Tapered Fit Jeans,Apparel,2503.05,198,0,,2698.04,2678.0
2025-09-11,HRX By Hrithik Roshan Men Training Jacket,Apparel,1795.54,198,0,,1653.48,1938.11
2025-09-12,Nike Men Air Max Excee Sneakers,Footwear,6029.92,196,0,,5618.96,5902.46
2025-09-12,Adidas Men Black Solid T-Shirt,Apparel,1003.65,198,0,,1061.96,1040.91
2025-09-12,Levis Men 512 Slim Tapered Fit Jeans,Apparel,2493.01,197,0,,2423.28,2643.87
2025-09-12,HRX By Hrithik Roshan Men Training Jacket,Apparel,1797.33,197,0,,1908.68,1804.32
2025-09-13,Nike Men Air Max Excee Sneakers,Footwear,6009.85,195,0,,6068.77,6428.21
2025-09-13,Adidas Men Black Solid T-Shirt,Apparel,995.78,196,0,,999.4,989.86
2025-09-13,Levis Men 512 Slim Tapered Fit Jeans,Apparel,2500.09,197,0,,2503.52,2749.26
2025-09-13,HRX By Hrithik Roshan Men Training Jacket,Apparel,1796.31,197,0,,1770.55,1915.26
2025-09-14,Nike Men Air Max Excee Sneakers,Footwear,5974.75,194,0,,6269.3,6209.85
2025-09-14,Adidas Men Black Solid T-Shirt,Apparel,996.49,194,0,,1044.91,937.74
2025-09-14,Levis Men 512 Slim Tapered Fit Jeans,Apparel,2500.21,194,0,,2658.66,2425.11
2025-09-14,HRX By Hrithik Roshan Men Training Jacket,Apparel,1807.71,197,0,,1729.02,1796.8
2025-09-15,Nike Men Air Max Excee Sneakers,Footwear,6007.88,197,0,,6018.21,5958.8
2025-09-15,Adidas Men Black Solid T-Shirt,Apparel,1000.3,196,0,,939.46,974.57
2025-09-15,Levis Men 512 Slim Tapered Fit Jeans,Apparel,2496.98,195,0,,2578.09,2447.04
2025-09-15,HRX By Hrithik Roshan Men Training Jacket,Apparel,1802.63,193,0,,1936.01,1722.22
2025-09-16,Nike Men Air Max Excee Sneakers,Footwear,5941.45,196,0,,5501.2,6144.08
2025-09-16,Adidas Men Black Solid T-Shirt,Apparel,998.87,194,0,,927.19,960.22
2025-09-16,Levis Men 512 Slim Tapered Fit Jeans,Apparel,2496.6,196,0,,2492.39,2788.31
2025-09-16,HRX By Hrithik Roshan Men Training Jacket,Apparel,1801.71,196,0,,1851.33,1923.43
2025-09-17,Nike Men Air Max Excee Sneakers,Footwear,6022.73,194,0,,6150.22,6259.88
2025-09-17,Adidas Men Black Solid T-Shirt,Apparel,994.46,193,0,,929.27,1077.76
2025-09-17,Levis Men 512 Slim Tapered Fit Jeans,Apparel,2486.62,197,0,,2522.78,2608.62
2025-09-17,HRX By Hrithik Roshan Men Training Jacket,Apparel,1793.91,197,0,,1797.38,1703.91
2025-09-18,Nike Men Air Max Excee Sneakers,Footwear,5967.14,192,0,,5859.0,6600.14
2025-09-18,Adidas Men Black Solid T-Shirt,Apparel,1001.37,196,0,,975.91,926.23
2025-09-18,Levis Men 512 Slim Tapered Fit Jeans,Apparel,2509.16,191,0,,2531.32,2550.62
2025-09-18,HRX By Hrithik Roshan Men Training Jacket,Apparel,1787.93,195,0,,1671.53,1962.05
2025-09-19,Nike Men Air Max Excee Sneakers,Footwear,6006.8,194,0,,5861.88,6365.47
2025-09-19,Adidas Men Black Solid T-Shirt,Apparel,1002.91,189,0,,1065.02,1074.69
2025-09-19,Levis Men 512 Slim Tapered Fit Jeans,Apparel,2490.5,195,0,,2649.32,2573.72
2025-09-19,HRX By Hrithik Roshan Men Training Jacket,Apparel,1801.09,196,0,,1686.24,1883.89
2025-09-20,Nike Men Air Max Excee Sneakers,Footwear,6054.96,190,1,,6260.52,5765.5
2025-09-20,Adidas Men Black Solid T-Shirt,Apparel,1001.37,193,0,,1025.34,1088.32
2025-09-20,Levis Men 512 Slim Tapered Fit Jeans,Apparel,2509.27,195,1,,2415.0,2393.03
2025-09-20,HRX By Hrithik Roshan Men Training Jacket,Apparel,1816.06,188,1,,1929.98,1886.61
2025-09-21,Nike Men Air Max Excee Sneakers,Footwear,5999.39,190,0,,5992.21,5657.15
2025-09-21,Adidas Men Black Solid T-Shirt,Apparel,1006.26,189,0,,970.96,911.02
2025-09-21,Levis Men 512 Slim Tapered Fit Jeans,Apparel,2485.62,187,0,,2666.15,2737.34
2025-09-21,HRX By Hrithik Roshan Men Training Jacket,Apparel,1803.34,192,0,,1663.53,1991.3
2025-09-22,Nike Men Air Max Excee Sneakers,Footwear,6013.19,186,0,,6352.82,5801.4
2025-09-22,Adidas Men Black Solid T-Shirt,Apparel,998.64,192,0,,1054.75,968.4
2025-09-22,Levis Men 512 Slim Tapered Fit Jeans,Apparel,2501.68,186,0,,2580.14,2565.26
2025-09-22,HRX By Hrithik Roshan Men Training Jacket,Apparel,1787.79,194,0,,1820.69,1998.41
2025-09-23,Nike Men Air Max Excee Sneakers,Footwear,6000.75,186,0,,6231.92,6320.85
2025-09-23,Adidas Men Black Solid T-Shirt,Apparel,993.29,188,0,,970.96,958.12
2025-09-23,Levis Men 512 Slim Tapered Fit Jeans,Apparel,2505.44,186,0,,2671.1,2536.75
2025-09-23,HRX By Hrithik Roshan Men Training Jacket,Apparel,1803.62,190,0,,1889.7,1881.16
2025-09-24,Nike Men Air Max Excee Sneakers,Footwear,6027.62,185,0,,5871.38,5922.91
2025-09-24,Adidas Men Black Solid T-Shirt,Apparel,1002.25,194,0,,1014.8,909.95
2025-09-24,Levis Men 512 Slim Tapered Fit Jeans,Apparel,2527.92,191,0,,2564.66,2292.09
